YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Age,Race,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,14.3,,,1.6,11.2,18.0,704,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,4.2,,,0.6,3.1,5.5,1444,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,4.4,,,0.7,3.1,6.1,736,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,3.9,,,0.8,2.6,5.8,704,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AR,Arkansas,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,10.6,,,1.2,8.5,13.2,2837,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,AR,Arkansas,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,17.2,,,2.4,12.9,22.6,1321,Male,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,AR,Arkansas,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,3.5,,,0.6,2.4,5.0,1497,Female,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,15.7,,,1.8,12.4,19.7,2589,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,18.2,,,1.7,15.1,21.8,1171,Male,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,13.4,,,1.9,10.0,17.6,1408,Female,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,6.1,,,1.5,3.7,9.9,2589,Overall,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,7.8,,,1.5,5.3,11.5,1171,Male,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AR,Arkansas,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,4.4,,,1.5,2.3,8.4,1408,Female,All Ages,All Races,High School,"(34.74865012400045, -92.27449074299966)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AZ,Arizona,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,6.2,,,1.2,4.2,9.0,2558,Overall,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,AZ,Arizona,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,9.5,,,1.8,6.5,13.7,1145,Male,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,AZ,Arizona,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,2.8,,,0.7,1.7,4.7,1388,Female,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.1,,,1.2,7.9,12.7,2442,Overall,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.0,,,1.4,7.4,13.2,1080,Male,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.2,,,1.7,7.3,14.0,1341,Female,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.3,,,0.6,1.4,3.7,2442,Overall,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.2,,,0.5,1.4,3.6,1080,Male,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AZ,Arizona,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.2,,,0.7,1.1,4.1,1341,Female,All Ages,All Races,High School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CA,California,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,3.0,,,0.7,1.8,4.8,1728,Overall,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,CA,California,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,4.8,,,1.3,2.7,8.4,821,Male,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,CA,California,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,1.1,,,0.4,0.5,2.2,896,Female,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,7.7,,,1.4,5.2,11.4,1873,Overall,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,8.4,,,1.8,5.3,13.1,893,Male,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,6.8,,,1.5,4.3,10.7,967,Female,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.5,,,0.7,0.5,4.2,1873,Overall,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.6,,,0.6,0.7,3.5,893,Male,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CA,California,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.5,,,1.0,0.4,6.2,967,Female,All Ages,All Races,High School,"(37.63864012300047, -120.99999953799971)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.3,,,0.9,8.6,12.3,2379,Overall,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,12.3,,,1.1,10.1,14.8,1171,Male,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,8.2,,,1.0,6.3,10.5,1195,Female,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.7,,,0.4,1.1,2.6,2379,Overall,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.4,,,0.5,1.6,3.6,1171,Male,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,CT,Connecticut,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.0,,,0.4,0.4,2.4,1195,Female,All Ages,All Races,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,DE,Delaware,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,4.5,,,0.6,3.5,5.7,2683,Overall,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,DE,Delaware,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,7.6,,,1.1,5.7,10.2,1283,Male,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,DE,Delaware,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,1.2,,,0.3,0.8,2.0,1362,Female,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,9.9,,,1.2,7.7,12.6,2631,Overall,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.3,,,1.2,8.1,13.1,1244,Male,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,9.2,,,1.6,6.5,12.9,1351,Female,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,4.0,,,0.9,2.6,6.2,2631,Overall,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,5.0,,,0.9,3.4,7.2,1244,Male,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,DE,Delaware,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.9,,,1.0,1.4,5.8,1351,Female,All Ages,All Races,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,9.9,,,0.7,8.6,11.4,6277,Overall,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,11.6,,,0.9,9.9,13.4,3029,Male,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,7.8,,,0.6,6.8,9.0,3175,Female,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,3.2,,,0.2,2.7,3.7,6277,Overall,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,3.8,,,0.4,3.1,4.5,3029,Male,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,FL,Florida,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.3,,,0.3,1.8,3.0,3175,Female,All Ages,All Races,High School,"(28.932040377000476, -81.92896053899966)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,GU,Guam,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,17.2,,,1.8,14.0,21.0,1286,Overall,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,GU,Guam,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,21.1,,,2.2,17.0,25.7,700,Male,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,GU,Guam,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,12.7,,,2.2,9.0,17.7,585,Female,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,17.6,,,1.8,14.3,21.5,1168,Overall,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,19.2,,,2.4,14.9,24.4,626,Male,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,15.9,,,2.0,12.3,20.2,541,Female,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,6.4,,,1.0,4.6,8.8,1168,Overall,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,9.4,,,1.8,6.4,13.6,626,Male,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,GU,Guam,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,3.1,,,1.0,1.6,5.8,541,Female,All Ages,All Races,High School,"(13.444304, 144.793731)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,9.8,,,0.5,8.7,10.9,5933,Overall,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.2,,,0.7,8.9,11.6,2905,Male,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,8.8,,,0.8,7.4,10.4,2977,Female,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.9,,,0.3,1.5,2.6,5933,Overall,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.4,,,0.4,1.8,3.3,2905,Male,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,HI,Hawaii,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,1.4,,,0.4,0.8,2.3,2977,Female,All Ages,All Races,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,ID,Idaho,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,8.3,,,0.9,6.7,10.3,1752,Overall,All Ages,All Races,High School,"(43.682630005000476, -114.3637300419997)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,ID,Idaho,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,14.3,,,1.6,11.3,18.0,863,Male,All Ages,All Races,High School,"(43.682630005000476, -114.3637300419997)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,ID,Idaho,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,2.0,,,0.6,1.1,3.6,881,Female,All Ages,All Races,High School,"(43.682630005000476, -114.3637300419997)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,ID,Idaho,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,9.7,,,0.9,8.1,11.7,1700,Overall,All Ages,All Races,High School,"(43.682630005000476, -114.3637300419997)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,ID,Idaho,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,10.1,,,1.2,7.9,12.8,835,Male,All Ages,All Races,High School,"(43.682630005000476, -114.3637300419997)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
